size,p_nu,p_alpha,p_beta,p_mu,p_lambda,q_95,q_99,p_tex
1000,0.5,0.2,0,0.7,4,1.51448102471791,2.37536442654603,"n_ 1 _nu_ 2 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.5,0.2,0,1.8,0.1,12.2410649015484,20.4057492006006,"n_ 1 _nu_ 2 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.5,0.2,0,1.8,0.6,4.09397430931279,6.55830916035392,"n_ 1 _nu_ 2 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.5,0.2,0,1.8,1.1,3.05611618966914,4.80757909237044,"n_ 1 _nu_ 2 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.5,0.2,0,1.8,4,1.80117142346843,2.72629476759488,"n_ 1 _nu_ 2 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.5,0.7,0,0.7,0.1,31.0642258966579,51.7860387434352,"n_ 1 _nu_ 2 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.5,0.7,0,0.7,0.6,6.82217753912272,10.9994413038613,"n_ 1 _nu_ 2 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.5,0.7,0,0.7,1.1,4.41619705111742,7.01115263807918,"n_ 1 _nu_ 2 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.5,0.7,0,0.7,4,2.04786296981418,3.12940767318953,"n_ 1 _nu_ 2 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.5,0.7,0,1.8,0.1,32.9431372267987,53.8060819366196,"n_ 1 _nu_ 2 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.5,0.7,0,1.8,0.6,7.66536725088246,11.9249647106081,"n_ 1 _nu_ 2 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.5,0.7,0,1.8,1.1,5.08108060493754,7.75095872766875,"n_ 1 _nu_ 2 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.5,0.7,0,1.8,4,2.46997368799099,3.61868310186304,"n_ 1 _nu_ 2 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.5,2,0,0.7,0.1,85.9596883479071,142.764957470301,"n_ 1 _nu_ 2 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.5,2,0,0.7,0.6,16.7559825276412,26.6684208680117,"n_ 1 _nu_ 2 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.5,2,0,0.7,1.1,10.019675707631,15.6339639036425,"n_ 1 _nu_ 2 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.5,2,0,0.7,4,3.74417096209392,5.56832805342283,"n_ 1 _nu_ 2 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.5,2,0,1.8,0.1,91.1299012284538,148.314837901008,"n_ 1 _nu_ 2 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.5,2,0,1.8,0.6,18.824090668655,28.910590780469,"n_ 1 _nu_ 2 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.5,2,0,1.8,1.1,11.5454089467958,17.2965977270664,"n_ 1 _nu_ 2 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.5,2,0,1.8,4,4.5666377742546,6.48009705398595,"n_ 1 _nu_ 2 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.5,5,0,0.7,0.1,214.049861549168,355.32671320336,"n_ 1 _nu_ 2 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
